STATION,year,month,PRCP_sum,TMAX_mean,TMIN_mean,TMEAN,ym
USW00093134,1998,6,0.05,76.06666666666666,61.43333333333333,69.06666666666666,1998-06-01
USW00093134,1998,7,0.0,85.6774193548387,66.6774193548387,76.48387096774194,1998-07-01
USW00093134,1998,8,0.0,90.45161290322581,69.2258064516129,80.09677419354838,1998-08-01
USW00093134,1998,9,0.01,81.0,66.23333333333333,73.86666666666666,1998-09-01
USW00093134,1998,10,0.0,78.48387096774194,59.516129032258064,69.2258064516129,1998-10-01
USW00093134,1998,11,1.32,71.9,52.9,62.733333333333334,1998-11-01
USW00093134,1998,12,0.5399999999999999,69.25806451612904,48.903225806451616,59.32258064516129,1998-12-01
USW00093134,1999,1,1.85,70.38709677419355,51.12903225806452,61.03225806451613,1999-01-01
USW00093134,1999,2,0.56,68.92857142857143,50.75,60.142857142857146,1999-02-01
USW00093134,1999,3,1.24,64.0,49.70967741935484,57.096774193548384,1999-03-01
USW00093134,1999,4,2.57,67.33333333333333,51.36666666666667,59.6,1999-04-01
USW00093134,1999,5,0.02,70.38709677419355,56.193548387096776,63.61290322580645,1999-05-01
USW00093134,1999,6,0.98,76.13333333333334,57.46666666666667,66.93333333333334,1999-06-01
USW00093134,1999,7,0.0,80.54838709677419,62.96774193548387,72.0,1999-07-01
USW00093134,1999,8,0.0,81.09677419354838,61.58064516129032,71.46774193548387,1999-08-01
USW00093134,1999,9,0.0,77.86666666666666,60.46666666666667,69.46666666666667,1999-09-01
USW00093134,1999,10,0.0,84.06451612903226,58.806451612903224,71.6774193548387,1999-10-01
USW00093134,1999,11,0.44,71.53333333333333,52.0,62.06666666666667,1999-11-01
USW00093134,1999,12,0.4,70.2258064516129,45.87096774193548,58.32258064516129,1999-12-01
USW00093134,2000,1,0.88,67.51612903225806,49.54838709677419,58.806451612903224,2000-01-01
USW00093134,2000,2,5.54,65.37931034482759,49.689655172413794,57.793103448275865,2000-02-01
USW00093134,2000,3,2.82,68.41935483870968,50.61290322580645,59.774193548387096,2000-03-01
USW00093134,2000,4,1.49,73.16666666666667,54.86666666666667,64.26666666666667,2000-04-01
USW00093134,2000,5,0.0,76.19354838709677,59.16129032258065,67.87096774193549,2000-05-01
USW00093134,2000,6,0.0,79.96666666666667,62.4,71.4,2000-06-01
USW00093134,2000,7,0.0,81.6774193548387,62.806451612903224,72.51612903225806,2000-07-01
USW00093134,2000,8,0.07,84.29032258064517,65.12903225806451,74.93548387096774,2000-08-01
USW00093134,2000,9,0.15,82.83333333333333,62.5,72.86666666666666,2000-09-01
USW00093134,2000,10,0.98,72.61290322580645,57.58064516129032,65.29032258064517,2000-10-01
USW00093134,2000,11,0.0,69.76666666666667,48.06666666666667,57.06666666666667,2000-11-01
